l_english:
 PAP_industry_1:0 "Stop the Bootlegging"
 NYN_airforcegrowth1_desc:0 "We must fund our airforce if we are going to get anywhere."
 NYN_airforcegrowth2:0 "Buy Fighter Planes"
 NYN_airforcegrowth2_desc:0 "Buying fighter planes will give us air supremacy in the battlefield, this will help our war efforts very much."
 NYN_airforcegrowth3:0 "New Aerial Tactics"
 NYN_airforcegrowth3_desc:0 "By learning new aerial tactics, we can surely win in the air with more confidence."
 NYN_navygrowth3:0 "New Naval Tactics"
 NYN_navygrowth3_desc:0 "By learning new naval tactics, we can surely win in the sea with more confidence."
 NYN_beaconofdemocracy:0 "Beacon Of Democracy"
 NYN_beaconofdemocracy_desc:0 "§RThe Democratic path is not complete and will be done later.§"
 NYN_forthepeople:0 "For The People"
 NYN_forthestate:0 "For The State"
 NYN_politicalfocus_1:0 "Abandon Democracy"
 NYN_politicalfocus_1_desc:0 "The Great Depression has showed us democracy does not work, far left or far right views will suit the New York State better then democracy ever could."
 NYN_communist_preparewar:0 "Prepare For War"
 NYN_communist_milita:0 "The Young Communist League"
 NYN_communist_milita_desc:0 "The Young Communist League USA (YCLUSA) was a communist youth organization in the United States. It was established in 1920, we shall incorporate our own YCLUSA into the New York Communist Party. "
 NYN_nationalspeeches:0 "National Speeches"
 NYN_nationalspeeches_desc:0 "TBD"
 NYN_research_slot1:0 "Research Slot 1"
 NYN_research_slot1_desc:0 "TBD"
 NYN_wintersoldiers:0 "Winter Soldiers"
 NYN_local_security:0 "Local Security"
 NYN_local_security_desc:0 "By sending troops to nearby neighbors, we can secure our position as a regional power."
 NYN_capitalist_economy:0 "Wartime Economy"
 NYN_capitalist_economy_desc:0 "TBD"
 NYN_communistfriends:0 "Soviet Diplomats"
 NYN_research_slot2:0 "Research Slot 2"
 NYN_research_slot2_desc:0 "TBD"
 NYN_research_socalist_science:0 "Socalist Science"
 NYN_research_socalist_science_desc:0 "TBD"
 NYN_navyboost:0 "Naval Production Efforts"
 NYN_navyboost_desc:0 "New Naval production efforts can help us build new ships faster."
 NYN_forthepeople_desc:0 "The Communist Party of New York will rise! For The People!"
 NYN_forthestate_desc:0 "§RThe Fascist path is not complete and will be done later.§"
 NYN_sovietmilitaryacademy:0 "Soviet-New York Military Academy"
 NYN_sovietmilitaryacademy_desc:0 "The Soviets have proposed a joint operation in teaching New York officers advanced military tactics, this can help us in our war efforts."
 NYN_takevermont:0 "Take Vermont"
 NYN_takepennsylvania:0 "Take Pennsylvania"
 NYN_takeontario:0 "Take Ontario"
 NYN_takenewjersey:0 "Take New Jersey"
 NYN_takeconnecticut:0 "Take Connecticut"
 NYN_takemaryland:0 "Take Maryland"
 NYN_takemassachusetts:0 "Take Massachusetts"
 NYN_takedelaware:0 "Take Delaware"
 NYN_takenewhampshire:0 "Take New Hampshire"
 NYN_takeohio:0 "Take Ohio"
 NYN_takemaine:0 "Take Maine"
 NYN_takevirginia:0 "Take Virginia"
 NYN_takeourlandback:0 "Take New Lands"
 NYN_communist_war:0 "Ready The Men"
 NYN_democracy_prevails:0 "Democracy Prevails"
 NYN_commissar:0 "Political Commissars"
 NYN_importfromthesoviets:0 "Import From The Soviets"
 NYN_importfromthesoviets_desc:0 "The only resources we naturally have is Steel, we must import some other resources for the war machine. Our Soviet friends might be able to help us out."
 NYN_commissar_desc:0 "Political Commissars might be able to help us out in the battlefield and with recruitment."
 NYN_spreadcommunism:0 "Spread Communism By Force"
 NYN_spreadcommunism_desc:0 "Pennsylvania is our strongest neighbor as of now, we can weaken them by spreading communist ideals and possibly setting up a communist ally down south."
 NYN_communistfriends_desc:0 "The Soviets are clearly interested in a communist ally in North America, we can uses this to our advantage."
 NYN_takethefalls:0 "§RTake The Falls§"
 NYN_takethefalls_desc:0 "Niagra Falls is obviously New York territory, we should take it.\n§RWe could possibly lose Buffalo if we are not careful enough!§"
 WYW_economicfocus1:0 "Become A Real State"
 WYW_economicfocus1_desc:0 "Wyoming hasn't been an actual state for a long time, a hidden government secret, but no more shall Wyoming be called a "Unloaded minecraft chunk" We shall rise!"
 NYN_fascistfunding:0 "An Opportunity?"
 NYN_fascistfunding_desc:0 "We've been presented an opportunity to overthrow the government."
 NYN_anewmilitary:0 "New York Christian Army"
 NYN_anewmilitary_desc:0 "As devout followers of Christ, it would only make sense to incorporate the religion into our army."

